sale_id,sale_date,product_name,category_name,store_name,country,quantity,price,revenue,claim_status,month,quarter,year,store_performance,price_category
OID-59217,2023-12-31,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59218,2023-12-31,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59219,2023-12-31,iPhone 11,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59220,2023-12-31,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59221,2023-12-31,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59222,2023-12-31,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59223,2023-12-31,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59224,2023-12-31,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
OID-59225,2023-12-31,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
OID-59226,2023-12-31,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59227,2023-12-31,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Warranty Void,December,4,2023,Poor,Budget
OID-59228,2023-12-31,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Warranty Void,December,4,2023,Poor,Budget
OID-59229,2023-12-31,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59230,2023-12-31,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59231,2023-12-31,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Warranty Void,December,4,2023,Poor,Budget
OID-59232,2023-12-31,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Free Replaced,December,4,2023,Poor,Budget
OID-59233,2023-12-31,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Free Replaced,December,4,2023,Poor,Budget
OID-59234,2023-12-31,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Free Replaced,December,4,2023,Poor,Budget
OID-59235,2023-12-31,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Free Replaced,December,4,2023,Poor,Budget
OID-59236,2023-12-31,Apple One,Subscription Service,Apple Istanbul,Turkey,1,179,179,Free Replaced,December,4,2023,Poor,Budget
OID-59237,2023-12-31,Apple One,Subscription Service,Apple Istanbul,Turkey,1,179,179,Free Replaced,December,4,2023,Poor,Budget
OID-59276,2023-12-31,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59277,2023-12-31,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59278,2023-12-31,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59302,2023-12-31,iPhone SE (3rd Gen),Smartphone,Apple Istanbul,Turkey,1,429,429,Free Replaced,December,4,2023,Poor,Budget
OID-59376,2023-12-30,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59377,2023-12-30,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59378,2023-12-30,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59379,2023-12-30,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59380,2023-12-30,iPhone 11,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59381,2023-12-30,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59382,2023-12-30,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59383,2023-12-30,iPhone 11 Pro,Smartphone,Apple Istanbul,Turkey,1,999,999,Free Replaced,December,4,2023,Poor,Budget
OID-59384,2023-12-30,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
OID-59385,2023-12-30,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
OID-59386,2023-12-30,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59387,2023-12-30,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59388,2023-12-30,iPad (7th Gen),Tablet,Apple Istanbul,Turkey,1,329,329,Free Replaced,December,4,2023,Poor,Budget
OID-59389,2023-12-30,iPad Air (4th Gen),Tablet,Apple Istanbul,Turkey,1,599,599,Free Replaced,December,4,2023,Poor,Budget
OID-59441,2023-12-30,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59442,2023-12-30,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59443,2023-12-30,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59444,2023-12-30,iPhone 13 Mini,Smartphone,Apple Istanbul,Turkey,1,699,699,Free Replaced,December,4,2023,Poor,Budget
OID-59468,2023-12-30,iPhone SE (3rd Gen),Smartphone,Apple Istanbul,Turkey,1,429,429,Free Replaced,December,4,2023,Poor,Budget
OID-59540,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59541,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59542,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59543,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59544,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59545,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59546,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59547,2023-12-29,Apple Watch Series 5,Wearable,Apple Istanbul,Turkey,1,399,399,Free Replaced,December,4,2023,Poor,Budget
OID-59548,2023-12-29,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
OID-59549,2023-12-29,iPhone 11 Pro Max,Smartphone,Apple Istanbul,Turkey,1,1099,1099,Free Replaced,December,4,2023,Poor,Mid Range
